 Date,AIG Price Target,AIG Price Target - High,AIG Price Target - Low,AIG Price Target - StdDev,AIG Price Target - Median,AIG Open,AIG Low,AIG High,AIG Close,AIG Adj. Close,AIG Rating,AIG Price Target - #,Ticker
02-27-2015,61.73684,68.0,55,3.4617,61.0,45.11407450571,45.023764256472006,45.655936001138,55.33,45.426055366714,3.86957,19,AIG
03-02-2015,61.73684,68.0,55,3.4617,61.0,45.311115049502,45.187964709632,45.68877609177,55.65,45.68877609177,3.86957,19,AIG
03-03-2015,61.73684,68.0,55,3.4617,61.0,45.385005253424005,45.36037518545,45.754456273034,55.58,45.631305933164,3.86957,19,AIG
03-04-2015,61.73684,68.0,55,3.4617,61.0,45.393215276082,45.130494551026,45.573835774558,55.38,45.467105480004,3.86957,19,AIG
03-05-2015,61.73684,68.0,55,3.4617,61.0,45.614885887848,45.319325072160005,45.705196137086006,55.61,45.655936001138,3.86957,19,AIG
03-06-2015,61.73684,68.0,55,3.4617,61.0,45.77087631835,45.639515955822006,46.337367881752,56.0,45.9761268848,3.86957,19,AIG
03-09-2015,61.73684,68.0,55,3.4617,61.0,45.861186567588,45.664146023796,46.152642371947,56.11,46.066437134038,3.86957,19,AIG
03-10-2015,61.73684,68.0,55,3.4617,61.0,45.609763517016,44.774585635548,45.609763517016,54.42,44.778699812304,3.86957,19,AIG
03-11-2015,61.73684,68.0,55,3.4617,61.0,44.76224310528,44.704644630696,45.288857730048,54.72,45.02555041766399,3.86957,19,AIG
03-12-2015,61.73684,68.0,55,3.4617,61.0,45.23948760897599,45.169546604124,45.799015647792,55.6,45.74964552672,3.86957,19,AIG
03-13-2015,61.73684,68.0,55,3.4617,61.0,45.683818698624,45.095491422516,45.74964552672,55.3,45.50279492135999,3.86957,19,AIG
03-16-2015,61.73684,68.0,55,3.4617,61.0,45.774330587256,45.6673619916,46.16106320232,55.93,46.021181192616,3.86957,19,AIG
