 Date,AAPL Price Target,AAPL Price Target - High,AAPL Price Target - Low,AAPL Price Target - StdDev,AAPL Price Target - Median,AAPL Open,AAPL Low,AAPL High,AAPL Close,AAPL Adj. Close,AAPL Rating,AAPL Price Target - #,Ticker
01-13-2022,176.64024,226.0,90.0,24.36491,177.5,174.76570088472,170.79872428596,175.60085385288,172.19,171.19641617556,4.36364,42,AAPL
01-14-2022,178.3069,226.0,90.0,25.04137,180.0,170.35132091016,170.10276347916,172.77724143672,173.07,172.07133833268,4.36364,42,AAPL
01-18-2022,179.25929,226.0,105.0,24.07049,182.0,170.52033996324,168.42748639422,171.54439657895998,169.8,168.8202071352,4.36364,42,AAPL
01-19-2022,179.25929,226.0,105.0,24.07049,182.0,169.01905308,164.98248040056,170.09282118192002,166.23,165.27080702051998,4.36364,42,AAPL
01-20-2022,179.25929,226.0,105.0,24.07049,182.0,166.01647931352,163.23263608632,168.70089956832,164.51,163.56073189524,4.36364,42,AAPL
01-21-2022,180.21167,226.0,105.0,24.27789,184.5,163.46628007145998,161.3634842052,165.37022999292,162.41,161.47284947484,4.36364,42,AAPL
01-24-2022,180.21167,226.0,105.0,24.27789,184.5,159.09664043448,153.8073383028,161.3634842052,161.62,160.68740799288,4.36364,42,AAPL
01-25-2022,180.21167,226.0,105.0,24.27789,184.5,158.06264152152,156.11395126248,161.82082987823998,159.78,158.85802530072,4.36364,42,AAPL
01-26-2022,180.21167,226.0,105.0,24.27789,184.5,162.556559874,156.90933504167998,163.4408277905256,159.69,158.76854462556,4.36364,42,AAPL
01-27-2022,180.7022,226.0,105.0,24.36567,185.0,161.5126186638,157.36668071472,162.89459798016,159.22,158.30125665528,4.36364,41,AAPL
01-28-2022,188.06805,226.0,130.0,19.37343,190.0,164.75380756404002,161.8605990672,169.36703348339998,170.33,169.34714888892,4.40909,41,AAPL
01-31-2022,188.06805,226.0,130.0,19.37343,190.0,169.17812983584,168.53188051523998,173.9902017,174.78,173.77147116072,4.40909,41,AAPL
02-01-2022,189.15415,226.0,130.0,18.41972,190.0,173.00591427324,171.31572374244,173.83112494416,174.61,173.60245210764,4.40909,41,AAPL
02-02-2022,189.81268,226.0,130.0,18.02277,191.0,173.73667312038,172.32983806092,174.86512385711998,175.84,174.82535466816,4.40909,41,AAPL
02-03-2022,190.47122,226.0,130.0,18.39735,192.0,173.47320224351998,171.12682009488,175.2229471347876,172.9,171.9023192796,4.40909,41,AAPL
02-04-2022,190.47122,226.0,130.0,18.39735,192.0,170.906822879072,169.911326473672,173.31592418013997,172.39,171.61362532690598,4.40909,41,AAPL
02-07-2022,190.47122,226.0,130.0,18.39735,192.0,172.08150863744402,170.18011050312998,173.1624186344273,171.66,170.886912950964,4.40909,41,AAPL
02-08-2022,190.95902,226.0,130.0,18.37838,195.0,170.95659769934198,170.657948777722,174.56029468689,174.83,174.04263655608202,4.40909,41,AAPL
02-09-2022,190.95902,226.0,130.0,18.37838,195.0,175.25714217067,174.11232130446,175.85444001391,176.28,175.48610634391198,4.40909,41,AAPL
02-10-2022,190.95902,226.0,130.0,18.37838,195.0,173.355744036356,170.77740834637,174.68970921959198,172.12,171.344841297448,4.40909,41,AAPL
02-11-2022,190.95902,226.0,130.0,18.37838,195.0,171.553895542582,167.28321596341598,172.300517846632,168.64,167.88051380665598,4.40909,41,AAPL
02-14-2022,190.95902,226.0,130.0,18.37838,195.0,166.616233371798,165.809881283424,168.816280427732,168.88,168.11943294395198,4.40909,41,AAPL
02-15-2022,191.25171,226.0,130.0,18.58259,195.0,170.200020431238,169.48326301935,172.17110331393,172.79,172.011823889066,4.40909,41,AAPL
02-16-2022,191.29561,226.0,130.0,18.60532,195.0,171.07605726799,169.28416373827,172.559346912036,172.55,171.77290475177,4.40909,41,AAPL
02-17-2022,191.29561,226.0,130.0,18.60532,195.0,170.25975021556198,167.71127941773798,171.135787052314,168.88,168.11943294395198,4.40909,41,AAPL
02-18-2022,191.29561,226.0,130.0,18.60532,195.0,169.05519956502798,165.441547613426,169.773251122243,167.3,166.54654862342,4.40909,41,AAPL
02-22-2022,191.29561,226.0,130.0,18.60532,195.0,164.236996962892,161.41974213561,165.939295816126,164.32,163.57996933532797,4.40909,41,AAPL
02-23-2022,191.29561,226.0,130.0,18.60532,195.0,164.79447494991598,159.03055076265,165.40172775721,160.07,159.349109612378,4.40909,41,AAPL
02-24-2022,191.29561,226.0,130.0,18.60532,195.0,151.892841535932,151.3154536208,162.11658961939,162.74,162.007085014796,4.40909,41,AAPL
02-25-2022,191.29561,226.0,130.0,18.60532,195.0,163.102131060736,160.1492896230385,164.37636645964798,164.85,164.10758243018998,4.40909,41,AAPL
02-28-2022,191.29561,226.0,130.0,18.60532,195.0,162.32564386452398,161.698481129122,164.67501538126797,165.12,164.37636645964798,4.40909,41,AAPL
03-01-2022,191.29561,226.0,130.0,18.60532,195.0,163.953280487353,161.240552782638,165.84970113964,163.2,162.46501336127997,4.40909,41,AAPL
03-02-2022,191.29561,226.0,130.0,18.60532,195.0,163.64965408370597,162.21613925992995,166.606278407744,166.56,165.809881283424,4.40909,41,AAPL
03-03-2022,191.39317,226.0,130.0,18.55626,195.0,167.71127941773798,164.80442991397,168.149297836114,166.23,165.48136746964198,4.40909,41,AAPL
03-04-2022,191.39317,226.0,130.0,18.55626,195.0,163.749203724246,161.36996731533998,164.80442991397,163.17,162.435148469118,4.40909,41,AAPL
03-07-2022,191.39317,226.0,130.0,18.55626,195.0,162.624292786144,158.323748314816,164.276816819108,159.3,158.58257738022002,4.40909,41,AAPL
03-08-2022,191.39317,226.0,130.0,18.55626,195.0,158.104739105628,155.09833996132,162.14645451155198,157.44,156.730954066176,4.40909,41,AAPL
03-09-2022,191.39317,226.0,130.0,18.55626,195.0,160.74778206196498,158.692081984814,162.67406760641398,162.95,162.21613925992995,4.36364,41,AAPL
03-10-2022,191.41756,226.0,130.0,18.52744,195.0,159.47852414507997,155.27752931429197,159.66766846210598,158.52,157.806090184008,4.36364,41,AAPL
03-11-2022,191.41756,226.0,130.0,18.52744,195.0,158.214243710222,153.8041946343,158.56266745211198,154.73,154.03315880754198,4.36364,41,AAPL
03-14-2022,191.41756,226.0,130.0,18.52744,195.0,150.76793059782997,149.42401045053998,153.425906000248,150.62,149.94166858134798,4.36364,41,AAPL
03-15-2022,191.41756,226.0,130.0,18.52744,195.0,150.22040757486,149.702749444052,154.86937578807795,155.09,154.391537513486,4.36364,41,AAPL
03-16-2022,191.41756,226.0,130.0,18.52744,195.0,156.34271046807,153.764374778084,159.279424864,159.59,158.871271337786,4.36364,41,AAPL
03-17-2022,191.41756,226.0,130.0,18.52744,195.0,157.895684860494,156.92009838320195,160.27492126939998,160.62,159.896632635348,4.36364,41,AAPL
03-18-2022,191.41756,226.0,130.0,18.52744,195.0,159.787128030754,159.04050572670397,163.73924876019197,163.98,163.24150055749195,4.36364,41,AAPL
03-21-2022,191.41756,226.0,130.0,18.52744,195.0,162.773617246954,162.28084652628098,165.60082703829,165.38,164.63519552505198,4.36364,41,AAPL
03-22-2022,191.41756,226.0,130.0,18.52744,195.0,164.76461005775397,164.167312214514,168.657001002868,168.82,168.059703159628,4.36364,41,AAPL
03-23-2022,191.41756,226.0,130.0,18.52744,195.0,167.233441143146,166.89497236531,171.86249942825597,170.21,169.443443163134,4.36364,41,AAPL
03-24-2022,191.41756,226.0,130.0,18.52744,195.0,170.289615107724,169.443443163134,173.355744036356,174.07,173.286059287978,4.36364,41,AAPL
03-25-2022,191.41756,226.0,130.0,18.52744,195.0,173.096914970952,171.97200403284998,174.490609938512,174.72,173.93313195148798,4.36364,41,AAPL
03-28-2022,191.41756,226.0,130.0,18.52744,195.0,171.394616117718,171.2253817288,174.93858332094197,175.6,174.80916878824,4.36364,41,AAPL
03-29-2022,191.41756,226.0,130.0,18.52744,195.0,175.89425987012598,175.545836128236,178.20381153065398,178.96,178.154036710384,4.36364,41,AAPL
03-30-2022,191.41756,226.0,130.0,18.52744,195.0,177.74588318417,175.90421483417998,178.801109373894,177.77,176.969395987958,4.36364,41,AAPL
03-31-2022,191.41756,226.0,130.0,18.52744,195.0,177.039080736336,173.61457310176,177.228225053362,174.61,173.823627346894,4.36364,41,AAPL
04-01-2022,191.41756,226.0,130.0,18.52744,195.0,173.246239431762,171.165651944476,174.09241137635198,174.31,173.524978425274,4.36364,41,AAPL
04-04-2022,191.41756,226.0,130.0,18.52744,195.0,173.783807490678,173.654392957976,177.686153399846,178.44,177.636378579576,4.36364,41,AAPL
04-05-2022,191.41756,226.0,130.0,18.52744,195.0,176.7006119585,173.62950554784098,177.49700908282,175.06,174.271600729324,4.36364,41,AAPL
04-06-2022,191.41756,226.0,130.0,18.52744,195.0,171.583760434744,169.363803450702,172.848040869602,171.83,171.05614733988202,4.36364,41,AAPL
04-07-2022,191.41756,226.0,130.0,18.52744,195.0,170.389164748264,169.08506445719,172.579256840144,172.14,171.36475122555598,4.36364,41,AAPL
04-08-2022,191.41756,226.0,130.0,18.52744,195.0,171.006372519612,168.43799179367997,171.006372519612,170.09,169.323983594486,4.36364,41,AAPL
04-11-2022,191.41756,226.0,130.0,18.52744,195.0,167.950198555034,164.7546550937,168.268757404762,165.75,165.00352919505,4.36364,41,AAPL
04-12-2022,191.41756,226.0,130.0,18.52744,195.0,167.263306035308,165.88952099585595,169.104974385298,167.66,166.904927329364,4.36364,41,AAPL
04-13-2022,191.41756,226.0,130.0,18.52744,195.0,166.63614329990597,166.018935528558,170.26970517961598,170.4,169.63258748016,4.36364,41,AAPL
04-14-2022,191.41756,226.0,130.0,18.52744,195.0,169.851596689348,164.29672674721598,170.498669352858,165.29,164.54560084856598,4.36364,41,AAPL
04-18-2022,191.41756,226.0,130.0,18.52744,195.0,163.18177077316798,162.83334703127798,165.84810834539135,165.07,164.326591639378,4.36364,41,AAPL
04-19-2022,191.24095,226.0,130.0,18.34045,193.5,164.276816819108,163.17181580911398,167.064206754228,167.4,166.64609826396,4.33333,42,AAPL
04-20-2022,191.24095,226.0,130.0,18.34045,193.5,167.999973375304,165.35195293694,168.11943294395198,167.23,166.47686387504197,4.33333,42,AAPL
04-21-2022,191.24095,226.0,130.0,18.34045,193.5,168.149297836114,165.162808619914,170.757498418262,166.42,165.670511786668,4.33333,42,AAPL
04-22-2022,191.24095,226.0,130.0,18.34045,193.5,165.710331642884,160.7726694721,167.11388202485745,161.79,161.061363429666,4.33333,42,AAPL
04-25-2022,191.1219,226.0,130.0,18.23422,193.5,160.394380838048,157.746360399684,162.435148469118,162.88,162.14645451155198,4.33333,42,AAPL
04-26-2022,191.1219,226.0,130.0,18.23422,193.5,161.51929177615,156.014196654288,161.608886452636,156.8,156.09383636672,4.33333,42,AAPL
04-27-2022,191.1219,226.0,130.0,18.23422,193.5,155.207844565914,154.680231471052,159.07037061886598,156.57,155.864872193478,4.33333,42,AAPL
04-28-2022,191.1219,226.0,130.0,18.23422,193.5,158.53280255995,158.214243710222,163.77409113438097,163.64,162.90303177965598,4.33333,42,AAPL
04-29-2022,190.02667,226.0,130.0,17.59415,191.5,161.111138249936,156.54180974915,165.45150257747997,157.65,156.94000831131,4.37778,42,AAPL
05-02-2022,189.54857,226.0,130.0,17.95798,191.5,156.004241690234,152.579734055658,157.51739622644195,157.96,157.248612196984,4.37778,42,AAPL
05-03-2022,189.54857,226.0,130.0,17.95798,191.5,157.43775651401,155.615998092128,159.986227311834,159.48,158.761766733192,4.37778,42,AAPL
05-04-2022,189.54857,226.0,130.0,17.95798,191.5,158.95091105021797,158.54275752400395,165.73024157099198,166.02,165.272313224508,4.37778,42,AAPL
05-05-2022,189.54857,226.0,130.0,17.95798,191.5,163.11208602479,154.25216801672997,163.341050198032,156.77,156.063971474558,4.37778,42,AAPL
