 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
06-19-2013,31.5783,37.5,25.0,3.3044,32.5,28.009722832975,27.824869480322874,28.099873212225003,30.875,27.8339295934375,3.71429,22,NKE
06-20-2013,31.5783,37.5,25.0,3.3044,32.5,27.6446137970125,27.3335949886,27.7798393658875,30.39,27.396700254075,3.71429,22,NKE
06-21-2013,31.71466,37.5,25.0,3.29835,33.0,27.414730329925,27.076666407737505,27.667151391825,30.285,27.3020423558625,3.71429,22,NKE
06-24-2013,31.90098,37.5,25.0,3.14094,33.0,27.1172340784,26.6439445873375,27.2749972420875,29.975,27.022576180187503,3.75862,23,NKE
06-25-2013,32.07177,37.5,25.0,3.0755,33.25,27.234429571425,27.022576180187503,27.4913581522875,30.195,27.220907014537502,3.75862,24,NKE
06-26-2013,32.45455,37.5,26.5,2.79573,33.75,27.432760405775,27.4012077730375,28.00070779505,30.925,27.879004783062506,3.71429,22,NKE
06-27-2013,32.45455,37.5,26.5,2.79573,33.75,28.3387717172375,28.005215314012503,28.5100574378125,31.16,28.0908581743,3.71429,22,NKE
06-28-2013,33.0,40.0,26.5,3.03764,33.75,27.919572453725,27.126249116325,28.879673992737494,31.84,28.7038807532,3.71429,22,NKE
07-01-2013,33.09091,40.0,26.5,3.09558,33.75,28.821076246225,28.03676794675,29.114064978787503,31.165,28.0953656932625,3.71429,22,NKE
07-02-2013,33.09091,40.0,26.5,3.09558,33.75,27.9150649347625,27.901542377875,28.43342961545,31.31,28.226083743175,3.71429,22,NKE
07-03-2013,33.09091,40.0,26.5,3.09558,33.75,28.0547980226,27.991692757125,28.36807059049375,31.43,28.334264198275,3.71429,22,NKE
07-05-2013,33.09091,40.0,26.5,3.09558,33.75,28.46948976715,28.4649822481875,28.7714935376375,31.82,28.68585067735,3.71429,22,NKE
07-08-2013,33.09091,40.0,26.5,3.09558,33.75,28.84812136,28.61373037395,29.145617611525,31.86,28.72191082905,3.71429,22,NKE
07-09-2013,33.09091,40.0,26.5,3.09558,33.75,28.84812136,28.57767022225,28.97433189095,31.965,28.8165687272625,3.71429,22,NKE
